,Batch size,Search space size,Migrating clones F1,Migration graph F1
0,64,381469726.5625,1.0,1.0
1,64,381469726.5625,0.8888888888888888,0.6666666666666666
2,64,381469726.5625,1.0,1.0
3,64,381469726.5625,0.8888888888888888,0.6666666666666666
4,64,381469726.5625,1.0,1.0
5,64,381469726.5625,0.8888888888888888,0.6666666666666666
6,64,381469726.5625,1.0,1.0
7,64,381469726.5625,0.8888888888888888,0.6666666666666666
8,64,381469726.5625,1.0,1.0
9,64,381469726.5625,0.8888888888888888,0.6666666666666666
10,64,122070.3125,1.0,1.0
11,64,122070.3125,1.0,1.0
12,64,122070.3125,1.0,1.0
13,64,122070.3125,1.0,1.0
14,64,122070.3125,1.0,1.0
15,64,122070.3125,1.0,1.0
16,64,122070.3125,1.0,1.0
17,64,122070.3125,1.0,1.0
18,64,122070.3125,1.0,1.0
19,64,122070.3125,1.0,1.0
20,64,122070.3125,1.0,1.0
21,64,122070.3125,1.0,1.0
22,64,122070.3125,1.0,1.0
23,64,122070.3125,1.0,1.0
24,64,122070.3125,1.0,1.0
25,64,122070.3125,1.0,1.0
26,64,122070.3125,1.0,1.0
27,64,122070.3125,1.0,1.0
28,64,122070.3125,1.0,1.0
29,64,122070.3125,1.0,1.0
30,64,4882.8125,1.0,0.75
31,64,4882.8125,0.8888888888888888,0.8571428571428571
32,64,4882.8125,0.8571428571428572,0.8
33,64,4882.8125,1.0,0.75
34,64,4882.8125,0.8888888888888888,0.8571428571428571
35,64,4882.8125,0.8571428571428572,0.8
36,64,4882.8125,1.0,0.75
37,64,4882.8125,0.8888888888888888,0.8571428571428571
38,64,4882.8125,0.8571428571428572,0.8
39,64,4882.8125,1.0,0.75
40,64,4882.8125,0.8888888888888888,0.8571428571428571
41,64,4882.8125,0.8571428571428572,0.8
42,64,4882.8125,1.0,0.75
43,64,4882.8125,0.8888888888888888,0.8571428571428571
44,64,4882.8125,0.8571428571428572,0.8
45,64,1.5625,1.0,0.75
46,64,1.5625,1.0,0.75
47,64,1.5625,1.0,0.75
48,64,1.5625,1.0,0.75
49,64,1.5625,1.0,0.75
50,64,3051757.8125,1.0,1.0
51,64,3051757.8125,0.5,0.6153846153846154
52,64,3051757.8125,0.8,0.8888888888888888
53,64,3051757.8125,0.8,0.4444444444444444
54,64,3051757.8125,0.8571428571428572,0.2857142857142857
55,64,3051757.8125,1.0,1.0
56,64,3051757.8125,0.5,0.6153846153846154
57,64,3051757.8125,0.8,0.8888888888888888
58,64,3051757.8125,0.8,0.4444444444444444
59,64,3051757.8125,0.8571428571428572,0.2857142857142857
60,64,3051757.8125,1.0,1.0
61,64,3051757.8125,0.5,0.6153846153846154
62,64,3051757.8125,0.8,0.8888888888888888
63,64,3051757.8125,0.8,0.4444444444444444
64,64,3051757.8125,0.8571428571428572,0.2857142857142857
65,64,3051757.8125,1.0,1.0
66,64,3051757.8125,0.5,0.6153846153846154
67,64,3051757.8125,0.8,0.8888888888888888
68,64,3051757.8125,0.8,0.4444444444444444
69,64,3051757.8125,0.8571428571428572,0.2857142857142857
70,64,3051757.8125,1.0,1.0
