	#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	ref	var	sample_type	purity	ploidy
0	0	CRUK0369_SU_FLN2	0	LN_SU_FLN2	0	CNTLN:9:17457544:G	236	67	metastasis		
1	1	CRUK0369_SU_LN3	1	LN_SU_LN3	0	CNTLN:9:17457544:G	130	22	metastasis	0.11	3.55
2	2	CRUK0369_SU_T1.R1	2	primary_SU_T1.R1	0	CNTLN:9:17457544:G	50	22	primary	0.36	3.5
3	3	CRUK0369_SU_T1.R2	3	primary_SU_T1.R2	0	CNTLN:9:17457544:G	48	68	primary	0.3	3.55
4	4	CRUK0369_SU_T1.R3	4	primary_SU_T1.R3	0	CNTLN:9:17457544:G	5	72	primary	0.72	3.35
5	5	CRUK0369_SU_T1.R4	5	primary_SU_T1.R4	0	CNTLN:9:17457544:G	46	95	primary	0.48	3.45
6	6	CRUK0369_SU_T1.R5	6	primary_SU_T1.R5	0	CNTLN:9:17457544:G	37	6	primary		
7	7	CRUK0369_SU_T1.R6	7	primary_SU_T1.R6	0	CNTLN:9:17457544:G	78	40	primary	0.6	1.8
8	8	CRUK0369_SU_T1.R7	8	primary_SU_T1.R7	0	CNTLN:9:17457544:G	65	74	primary	0.61	3.6
9	9	CRUK0369_SU_T1.R8	9	primary_SU_T1.R8	0	CNTLN:9:17457544:G	98	26	primary	0.31	1.95
10	0	CRUK0369_SU_FLN2	0	LN_SU_FLN2	1	NIM1K:5:43277322:T	254	285	metastasis		
11	1	CRUK0369_SU_LN3	1	LN_SU_LN3	1	NIM1K:5:43277322:T	578	469	metastasis	0.11	3.55
12	2	CRUK0369_SU_T1.R1	2	primary_SU_T1.R1	1	NIM1K:5:43277322:T	234	640	primary	0.36	3.5
13	3	CRUK0369_SU_T1.R2	3	primary_SU_T1.R2	1	NIM1K:5:43277322:T	241	371	primary	0.3	3.55
14	4	CRUK0369_SU_T1.R3	4	primary_SU_T1.R3	1	NIM1K:5:43277322:T	64	711	primary	0.72	3.35
15	5	CRUK0369_SU_T1.R4	5	primary_SU_T1.R4	1	NIM1K:5:43277322:T	166	677	primary	0.48	3.45
16	6	CRUK0369_SU_T1.R5	6	primary_SU_T1.R5	1	NIM1K:5:43277322:T	309	124	primary		
17	7	CRUK0369_SU_T1.R6	7	primary_SU_T1.R6	1	NIM1K:5:43277322:T	171	577	primary	0.6	1.8
18	8	CRUK0369_SU_T1.R7	8	primary_SU_T1.R7	1	NIM1K:5:43277322:T	108	920	primary	0.61	3.6
19	9	CRUK0369_SU_T1.R8	9	primary_SU_T1.R8	1	NIM1K:5:43277322:T	387	516	primary	0.31	1.95
20	0	CRUK0369_SU_FLN2	0	LN_SU_FLN2	2	SLC12A7:5:1093773:GC	368	290	metastasis		
21	1	CRUK0369_SU_LN3	1	LN_SU_LN3	2	SLC12A7:5:1093773:GC	623	390	metastasis	0.11	3.55
22	2	CRUK0369_SU_T1.R1	2	primary_SU_T1.R1	2	SLC12A7:5:1093773:GC	400	670	primary	0.36	3.5
23	3	CRUK0369_SU_T1.R2	3	primary_SU_T1.R2	2	SLC12A7:5:1093773:GC	305	629	primary	0.3	3.55
24	4	CRUK0369_SU_T1.R3	4	primary_SU_T1.R3	2	SLC12A7:5:1093773:GC	104	1132	primary	0.72	3.35
25	5	CRUK0369_SU_T1.R4	5	primary_SU_T1.R4	2	SLC12A7:5:1093773:GC	231	1120	primary	0.48	3.45
26	6	CRUK0369_SU_T1.R5	6	primary_SU_T1.R5	2	SLC12A7:5:1093773:GC	1090	326	primary		
27	7	CRUK0369_SU_T1.R6	7	primary_SU_T1.R6	2	SLC12A7:5:1093773:GC	199	861	primary	0.6	1.8
28	8	CRUK0369_SU_T1.R7	8	primary_SU_T1.R7	2	SLC12A7:5:1093773:GC	138	1256	primary	0.61	3.6
29	9	CRUK0369_SU_T1.R8	9	primary_SU_T1.R8	2	SLC12A7:5:1093773:GC	407	461	primary	0.31	1.95
30	0	CRUK0369_SU_FLN2	0	LN_SU_FLN2	3	PSMB7:9:127215546:G	83	44	metastasis		
31	1	CRUK0369_SU_LN3	1	LN_SU_LN3	3	PSMB7:9:127215546:G	143	19	metastasis	0.11	3.55
32	2	CRUK0369_SU_T1.R1	2	primary_SU_T1.R1	3	PSMB7:9:127215546:G	70	59	primary	0.36	3.5
33	3	CRUK0369_SU_T1.R2	3	primary_SU_T1.R2	3	PSMB7:9:127215546:G	67	43	primary	0.3	3.55
34	4	CRUK0369_SU_T1.R3	4	primary_SU_T1.R3	3	PSMB7:9:127215546:G	6	62	primary	0.72	3.35
35	5	CRUK0369_SU_T1.R4	5	primary_SU_T1.R4	3	PSMB7:9:127215546:G	68	67	primary	0.48	3.45
36	6	CRUK0369_SU_T1.R5	6	primary_SU_T1.R5	3	PSMB7:9:127215546:G	139	19	primary		
37	7	CRUK0369_SU_T1.R6	7	primary_SU_T1.R6	3	PSMB7:9:127215546:G	53	53	primary	0.6	1.8
38	8	CRUK0369_SU_T1.R7	8	primary_SU_T1.R7	3	PSMB7:9:127215546:G	45	64	primary	0.61	3.6
39	9	CRUK0369_SU_T1.R8	9	primary_SU_T1.R8	3	PSMB7:9:127215546:G	125	62	primary	0.31	1.95
40	0	CRUK0369_SU_FLN2	0	LN_SU_FLN2	4	ADAMTSL1:9:18706683:G	70	10	metastasis		
41	1	CRUK0369_SU_LN3	1	LN_SU_LN3	4	ADAMTSL1:9:18706683:G	53	12	metastasis	0.11	3.55
42	2	CRUK0369_SU_T1.R1	2	primary_SU_T1.R1	4	ADAMTSL1:9:18706683:G	25	24	primary	0.36	3.5
43	3	CRUK0369_SU_T1.R2	3	primary_SU_T1.R2	4	ADAMTSL1:9:18706683:G	22	24	primary	0.3	3.55
44	4	CRUK0369_SU_T1.R3	4	primary_SU_T1.R3	4	ADAMTSL1:9:18706683:G	4	38	primary	0.72	3.35
45	5	CRUK0369_SU_T1.R4	5	primary_SU_T1.R4	4	ADAMTSL1:9:18706683:G	24	39	primary	0.48	3.45
46	6	CRUK0369_SU_T1.R5	6	primary_SU_T1.R5	4	ADAMTSL1:9:18706683:G	69	2	primary		
47	7	CRUK0369_SU_T1.R6	7	primary_SU_T1.R6	4	ADAMTSL1:9:18706683:G	39	22	primary	0.6	1.8
48	8	CRUK0369_SU_T1.R7	8	primary_SU_T1.R7	4	ADAMTSL1:9:18706683:G	42	23	primary	0.61	3.6
49	9	CRUK0369_SU_T1.R8	9	primary_SU_T1.R8	4	ADAMTSL1:9:18706683:G	60	6	primary	0.31	1.95
50	0	CRUK0369_SU_FLN2	0	LN_SU_FLN2	5	CDH10:5:24505484:G	32	48	metastasis		
51	1	CRUK0369_SU_LN3	1	LN_SU_LN3	5	CDH10:5:24505484:G	138	78	metastasis	0.11	3.55
52	2	CRUK0369_SU_T1.R1	2	primary_SU_T1.R1	5	CDH10:5:24505484:G	72	154	primary	0.36	3.5
53	3	CRUK0369_SU_T1.R2	3	primary_SU_T1.R2	5	CDH10:5:24505484:G	59	87	primary	0.3	3.55
54	4	CRUK0369_SU_T1.R3	4	primary_SU_T1.R3	5	CDH10:5:24505484:G	17	132	primary	0.72	3.35
55	5	CRUK0369_SU_T1.R4	5	primary_SU_T1.R4	5	CDH10:5:24505484:G	37	131	primary	0.48	3.45
56	6	CRUK0369_SU_T1.R5	6	primary_SU_T1.R5	5	CDH10:5:24505484:G	45	18	primary		
57	7	CRUK0369_SU_T1.R6	7	primary_SU_T1.R6	5	CDH10:5:24505484:G	53	122	primary	0.6	1.8
58	8	CRUK0369_SU_T1.R7	8	primary_SU_T1.R7	5	CDH10:5:24505484:G	26	180	primary	0.61	3.6
59	9	CRUK0369_SU_T1.R8	9	primary_SU_T1.R8	5	CDH10:5:24505484:G	91	131	primary	0.31	1.95
60	0	CRUK0369_SU_FLN2	0	LN_SU_FLN2	6	MCC:5:112720797:T	749	124	metastasis		
61	1	CRUK0369_SU_LN3	1	LN_SU_LN3	6	MCC:5:112720797:T	1318	160	metastasis	0.11	3.55
62	2	CRUK0369_SU_T1.R1	2	primary_SU_T1.R1	6	MCC:5:112720797:T	563	409	primary	0.36	3.5
63	3	CRUK0369_SU_T1.R2	3	primary_SU_T1.R2	6	MCC:5:112720797:T	628	465	primary	0.3	3.55
64	4	CRUK0369_SU_T1.R3	4	primary_SU_T1.R3	6	MCC:5:112720797:T	139	1055	primary	0.72	3.35
65	5	CRUK0369_SU_T1.R4	5	primary_SU_T1.R4	6	MCC:5:112720797:T	473	749	primary	0.48	3.45
66	6	CRUK0369_SU_T1.R5	6	primary_SU_T1.R5	6	MCC:5:112720797:T	545	70	primary		
67	7	CRUK0369_SU_T1.R6	7	primary_SU_T1.R6	6	MCC:5:112720797:T	443	535	primary	0.6	1.8
68	8	CRUK0369_SU_T1.R7	8	primary_SU_T1.R7	6	MCC:5:112720797:T	286	575	primary	0.61	3.6
69	9	CRUK0369_SU_T1.R8	9	primary_SU_T1.R8	6	MCC:5:112720797:T	823	187	primary	0.31	1.95
70	0	CRUK0369_SU_FLN2	0	LN_SU_FLN2	7	RALGPS2:1:178777236:A	131	19	metastasis		
71	1	CRUK0369_SU_LN3	1	LN_SU_LN3	7	RALGPS2:1:178777236:A	107	7	metastasis	0.11	3.55
72	2	CRUK0369_SU_T1.R1	2	primary_SU_T1.R1	7	RALGPS2:1:178777236:A	43	20	primary	0.36	3.5
73	3	CRUK0369_SU_T1.R2	3	primary_SU_T1.R2	7	RALGPS2:1:178777236:A	28	30	primary	0.3	3.55
74	4	CRUK0369_SU_T1.R3	4	primary_SU_T1.R3	7	RALGPS2:1:178777236:A	7	48	primary	0.72	3.35
75	5	CRUK0369_SU_T1.R4	5	primary_SU_T1.R4	7	RALGPS2:1:178777236:A	26	66	primary	0.48	3.45
76	6	CRUK0369_SU_T1.R5	6	primary_SU_T1.R5	7	RALGPS2:1:178777236:A	28	2	primary		
77	7	CRUK0369_SU_T1.R6	7	primary_SU_T1.R6	7	RALGPS2:1:178777236:A	31	50	primary	0.6	1.8
78	8	CRUK0369_SU_T1.R7	8	primary_SU_T1.R7	7	RALGPS2:1:178777236:A	30	64	primary	0.61	3.6
79	9	CRUK0369_SU_T1.R8	9	primary_SU_T1.R8	7	RALGPS2:1:178777236:A	68	11	primary	0.31	1.95
80	0	CRUK0369_SU_FLN2	0	LN_SU_FLN2	8	SV2B:15:91795081:G	306	64	metastasis		
81	1	CRUK0369_SU_LN3	1	LN_SU_LN3	8	SV2B:15:91795081:G	362	95	metastasis	0.11	3.55
82	2	CRUK0369_SU_T1.R1	2	primary_SU_T1.R1	8	SV2B:15:91795081:G	167	123	primary	0.36	3.5
83	3	CRUK0369_SU_T1.R2	3	primary_SU_T1.R2	8	SV2B:15:91795081:G	177	169	primary	0.3	3.55
84	4	CRUK0369_SU_T1.R3	4	primary_SU_T1.R3	8	SV2B:15:91795081:G	34	224	primary	0.72	3.35
85	5	CRUK0369_SU_T1.R4	5	primary_SU_T1.R4	8	SV2B:15:91795081:G	127	245	primary	0.48	3.45
86	6	CRUK0369_SU_T1.R5	6	primary_SU_T1.R5	8	SV2B:15:91795081:G	368	102	primary		
87	7	CRUK0369_SU_T1.R6	7	primary_SU_T1.R6	8	SV2B:15:91795081:G	138	132	primary	0.6	1.8
88	8	CRUK0369_SU_T1.R7	8	primary_SU_T1.R7	8	SV2B:15:91795081:G	65	195	primary	0.61	3.6
89	9	CRUK0369_SU_T1.R8	9	primary_SU_T1.R8	8	SV2B:15:91795081:G	182	136	primary	0.31	1.95
90	0	CRUK0369_SU_FLN2	0	LN_SU_FLN2	9	VIL1:2:219294318:A	463	58	metastasis		
91	1	CRUK0369_SU_LN3	1	LN_SU_LN3	9	VIL1:2:219294318:A	781	87	metastasis	0.11	3.55
92	2	CRUK0369_SU_T1.R1	2	primary_SU_T1.R1	9	VIL1:2:219294318:A	401	211	primary	0.36	3.5
93	3	CRUK0369_SU_T1.R2	3	primary_SU_T1.R2	9	VIL1:2:219294318:A	389	169	primary	0.3	3.55
94	4	CRUK0369_SU_T1.R3	4	primary_SU_T1.R3	9	VIL1:2:219294318:A	112	675	primary	0.72	3.35
95	5	CRUK0369_SU_T1.R4	5	primary_SU_T1.R4	9	VIL1:2:219294318:A	263	290	primary	0.48	3.45
96	6	CRUK0369_SU_T1.R5	6	primary_SU_T1.R5	9	VIL1:2:219294318:A	661	75	primary		
97	7	CRUK0369_SU_T1.R6	7	primary_SU_T1.R6	9	VIL1:2:219294318:A	280	210	primary	0.6	1.8
98	8	CRUK0369_SU_T1.R7	8	primary_SU_T1.R7	9	VIL1:2:219294318:A	173	323	primary	0.61	3.6
99	9	CRUK0369_SU_T1.R8	9	primary_SU_T1.R8	9	VIL1:2:219294318:A	526	131	primary	0.31	1.95
100	0	CRUK0369_SU_FLN2	0	LN_SU_FLN2	10	TPR:1:186305809:C	186	29	metastasis		
101	1	CRUK0369_SU_LN3	1	LN_SU_LN3	10	TPR:1:186305809:C	188	18	metastasis	0.11	3.55
102	2	CRUK0369_SU_T1.R1	2	primary_SU_T1.R1	10	TPR:1:186305809:C	110	44	primary	0.36	3.5
103	3	CRUK0369_SU_T1.R2	3	primary_SU_T1.R2	10	TPR:1:186305809:C	80	80	primary	0.3	3.55
104	4	CRUK0369_SU_T1.R3	4	primary_SU_T1.R3	10	TPR:1:186305809:C	20	117	primary	0.72	3.35
105	5	CRUK0369_SU_T1.R4	5	primary_SU_T1.R4	10	TPR:1:186305809:C	70	94	primary	0.48	3.45
106	6	CRUK0369_SU_T1.R5	6	primary_SU_T1.R5	10	TPR:1:186305809:C	122	16	primary		
107	7	CRUK0369_SU_T1.R6	7	primary_SU_T1.R6	10	TPR:1:186305809:C	64	79	primary	0.6	1.8
108	8	CRUK0369_SU_T1.R7	8	primary_SU_T1.R7	10	TPR:1:186305809:C	41	111	primary	0.61	3.6
109	9	CRUK0369_SU_T1.R8	9	primary_SU_T1.R8	10	TPR:1:186305809:C	104	41	primary	0.31	1.95
110	0	CRUK0369_SU_FLN2	0	LN_SU_FLN2	11	WDR26:1:224588665:T	406	69	metastasis		
111	1	CRUK0369_SU_LN3	1	LN_SU_LN3	11	WDR26:1:224588665:T	659	90	metastasis	0.11	3.55
112	2	CRUK0369_SU_T1.R1	2	primary_SU_T1.R1	11	WDR26:1:224588665:T	355	140	primary	0.36	3.5
113	3	CRUK0369_SU_T1.R2	3	primary_SU_T1.R2	11	WDR26:1:224588665:T	308	265	primary	0.3	3.55
114	4	CRUK0369_SU_T1.R3	4	primary_SU_T1.R3	11	WDR26:1:224588665:T	80	458	primary	0.72	3.35
115	5	CRUK0369_SU_T1.R4	5	primary_SU_T1.R4	11	WDR26:1:224588665:T	253	400	primary	0.48	3.45
116	6	CRUK0369_SU_T1.R5	6	primary_SU_T1.R5	11	WDR26:1:224588665:T	452	84	primary		
117	7	CRUK0369_SU_T1.R6	7	primary_SU_T1.R6	11	WDR26:1:224588665:T	218	318	primary	0.6	1.8
118	8	CRUK0369_SU_T1.R7	8	primary_SU_T1.R7	11	WDR26:1:224588665:T	149	409	primary	0.61	3.6
119	9	CRUK0369_SU_T1.R8	9	primary_SU_T1.R8	11	WDR26:1:224588665:T	437	97	primary	0.31	1.95
120	0	CRUK0369_SU_FLN2	0	LN_SU_FLN2	12	WNT3A:1:228194994:C	75	19	metastasis		
121	1	CRUK0369_SU_LN3	1	LN_SU_LN3	12	WNT3A:1:228194994:C	71	7	metastasis	0.11	3.55
122	2	CRUK0369_SU_T1.R1	2	primary_SU_T1.R1	12	WNT3A:1:228194994:C	38	7	primary	0.36	3.5
123	3	CRUK0369_SU_T1.R2	3	primary_SU_T1.R2	12	WNT3A:1:228194994:C	22	15	primary	0.3	3.55
124	4	CRUK0369_SU_T1.R3	4	primary_SU_T1.R3	12	WNT3A:1:228194994:C	5	27	primary	0.72	3.35
125	5	CRUK0369_SU_T1.R4	5	primary_SU_T1.R4	12	WNT3A:1:228194994:C	22	42	primary	0.48	3.45
126	6	CRUK0369_SU_T1.R5	6	primary_SU_T1.R5	12	WNT3A:1:228194994:C	62	9	primary		
127	7	CRUK0369_SU_T1.R6	7	primary_SU_T1.R6	12	WNT3A:1:228194994:C	27	44	primary	0.6	1.8
128	8	CRUK0369_SU_T1.R7	8	primary_SU_T1.R7	12	WNT3A:1:228194994:C	13	65	primary	0.61	3.6
129	9	CRUK0369_SU_T1.R8	9	primary_SU_T1.R8	12	WNT3A:1:228194994:C	71	9	primary	0.31	1.95
130	0	CRUK0369_SU_FLN2	0	LN_SU_FLN2	13	TNPO1:5:72151836:G	81	20	metastasis		
131	1	CRUK0369_SU_LN3	1	LN_SU_LN3	13	TNPO1:5:72151836:G	122	14	metastasis	0.11	3.55
132	2	CRUK0369_SU_T1.R1	2	primary_SU_T1.R1	13	TNPO1:5:72151836:G	57	26	primary	0.36	3.5
133	3	CRUK0369_SU_T1.R2	3	primary_SU_T1.R2	13	TNPO1:5:72151836:G	73	23	primary	0.3	3.55
134	4	CRUK0369_SU_T1.R3	4	primary_SU_T1.R3	13	TNPO1:5:72151836:G	5	27	primary	0.72	3.35
135	5	CRUK0369_SU_T1.R4	5	primary_SU_T1.R4	13	TNPO1:5:72151836:G	51	42	primary	0.48	3.45
136	6	CRUK0369_SU_T1.R5	6	primary_SU_T1.R5	13	TNPO1:5:72151836:G	36	3	primary		
137	7	CRUK0369_SU_T1.R6	7	primary_SU_T1.R6	13	TNPO1:5:72151836:G	54	21	primary	0.6	1.8
138	8	CRUK0369_SU_T1.R7	8	primary_SU_T1.R7	13	TNPO1:5:72151836:G	26	39	primary	0.61	3.6
139	9	CRUK0369_SU_T1.R8	9	primary_SU_T1.R8	13	TNPO1:5:72151836:G	62	15	primary	0.31	1.95
140	0	CRUK0369_SU_FLN2	0	LN_SU_FLN2	14	BRINP3:1:190203642:C	319	40	metastasis		
141	1	CRUK0369_SU_LN3	1	LN_SU_LN3	14	BRINP3:1:190203642:C	1011	93	metastasis	0.11	3.55
142	2	CRUK0369_SU_T1.R1	2	primary_SU_T1.R1	14	BRINP3:1:190203642:C	579	220	primary	0.36	3.5
143	3	CRUK0369_SU_T1.R2	3	primary_SU_T1.R2	14	BRINP3:1:190203642:C	486	310	primary	0.3	3.55
144	4	CRUK0369_SU_T1.R3	4	primary_SU_T1.R3	14	BRINP3:1:190203642:C	102	546	primary	0.72	3.35
145	5	CRUK0369_SU_T1.R4	5	primary_SU_T1.R4	14	BRINP3:1:190203642:C	360	504	primary	0.48	3.45
146	6	CRUK0369_SU_T1.R5	6	primary_SU_T1.R5	14	BRINP3:1:190203642:C	479	102	primary		
147	7	CRUK0369_SU_T1.R6	7	primary_SU_T1.R6	14	BRINP3:1:190203642:C	329	423	primary	0.6	1.8
148	8	CRUK0369_SU_T1.R7	8	primary_SU_T1.R7	14	BRINP3:1:190203642:C	228	560	primary	0.61	3.6
149	9	CRUK0369_SU_T1.R8	9	primary_SU_T1.R8	14	BRINP3:1:190203642:C	657	111	primary	0.31	1.95
150	0	CRUK0369_SU_FLN2	0	LN_SU_FLN2	15	CR2:1:207646590:C	77	19	metastasis		
151	1	CRUK0369_SU_LN3	1	LN_SU_LN3	15	CR2:1:207646590:C	119	8	metastasis	0.11	3.55
152	2	CRUK0369_SU_T1.R1	2	primary_SU_T1.R1	15	CR2:1:207646590:C	34	21	primary	0.36	3.5
153	3	CRUK0369_SU_T1.R2	3	primary_SU_T1.R2	15	CR2:1:207646590:C	32	32	primary	0.3	3.55
154	4	CRUK0369_SU_T1.R3	4	primary_SU_T1.R3	15	CR2:1:207646590:C	10	52	primary	0.72	3.35
155	5	CRUK0369_SU_T1.R4	5	primary_SU_T1.R4	15	CR2:1:207646590:C	35	63	primary	0.48	3.45
156	6	CRUK0369_SU_T1.R5	6	primary_SU_T1.R5	15	CR2:1:207646590:C	51	4	primary		
157	7	CRUK0369_SU_T1.R6	7	primary_SU_T1.R6	15	CR2:1:207646590:C	37	50	primary	0.6	1.8
158	8	CRUK0369_SU_T1.R7	8	primary_SU_T1.R7	15	CR2:1:207646590:C	21	79	primary	0.61	3.6
159	9	CRUK0369_SU_T1.R8	9	primary_SU_T1.R8	15	CR2:1:207646590:C	74	15	primary	0.31	1.95
160	0	CRUK0369_SU_FLN2	0	LN_SU_FLN2	16	MYH11:16:15853304:C	87	0	metastasis		
161	1	CRUK0369_SU_LN3	1	LN_SU_LN3	16	MYH11:16:15853304:C	164	0	metastasis	0.11	3.55
162	2	CRUK0369_SU_T1.R1	2	primary_SU_T1.R1	16	MYH11:16:15853304:C	76	1	primary	0.36	3.5
163	3	CRUK0369_SU_T1.R2	3	primary_SU_T1.R2	16	MYH11:16:15853304:C	57	26	primary	0.3	3.55
164	4	CRUK0369_SU_T1.R3	4	primary_SU_T1.R3	16	MYH11:16:15853304:C	11	56	primary	0.72	3.35
165	5	CRUK0369_SU_T1.R4	5	primary_SU_T1.R4	16	MYH11:16:15853304:C	38	45	primary	0.48	3.45
