	#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	ref	var	sample_type	purity	ploidy
0	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	0	SERPINA6:14:94780665:C	123	124	metastasis	0.26	3.35
1	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	0	SERPINA6:14:94780665:C	365	16	primary		
2	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	0	SERPINA6:14:94780665:C	332	81	primary	0.12	3.1
3	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	1	INSM2:14:36004541:G	395	380	metastasis	0.26	3.35
4	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	1	INSM2:14:36004541:G	638	26	primary		
5	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	1	INSM2:14:36004541:G	559	171	primary	0.12	3.1
6	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	2	TMEM260:14:57196962:G	185	169	metastasis	0.26	3.35
7	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	2	TMEM260:14:57196962:G	585	26	primary		
8	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	2	TMEM260:14:57196962:G	494	98	primary	0.12	3.1
9	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	3	INSM2:14:36003595:T	193	158	metastasis	0.26	3.35
10	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	3	INSM2:14:36003595:T	193	13	primary		
11	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	3	INSM2:14:36003595:T	176	59	primary	0.12	3.1
12	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	4	POMT2:14:77745398:C	54	43	metastasis	0.26	3.35
13	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	4	POMT2:14:77745398:C	161	8	primary		
14	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	4	POMT2:14:77745398:C	114	41	primary	0.12	3.1
15	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	5	LHX8:1:75602797:G	30	22	metastasis	0.26	3.35
16	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	5	LHX8:1:75602797:G	148	5	primary		
17	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	5	LHX8:1:75602797:G	114	12	primary	0.12	3.1
18	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	6	VSX2:14:74706633:G	102	73	metastasis	0.26	3.35
19	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	6	VSX2:14:74706633:G	172	9	primary		
20	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	6	VSX2:14:74706633:G	181	34	primary	0.12	3.1
21	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	7	ASH2L:8:37963078:G	158	113	metastasis	0.26	3.35
22	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	7	ASH2L:8:37963078:G	132	11	primary		
23	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	7	ASH2L:8:37963078:G	121	49	primary	0.12	3.1
24	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	8	SYNE2:14:64428263:G	325	220	metastasis	0.26	3.35
25	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	8	SYNE2:14:64428263:G	1056	57	primary		
26	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	8	SYNE2:14:64428263:G	826	212	primary	0.12	3.1
27	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	9	ACAP2:3:195029665:G	69	46	metastasis	0.26	3.35
28	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	9	ACAP2:3:195029665:G	73	0	primary		
29	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	9	ACAP2:3:195029665:G	95	23	primary	0.12	3.1
30	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	10	PGAM5:12:133297465:T	100	63	metastasis	0.26	3.35
31	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	10	PGAM5:12:133297465:T	248	7	primary		
32	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	10	PGAM5:12:133297465:T	171	26	primary	0.12	3.1
33	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	11	HS3ST3A1:17:13504455:G	69	38	metastasis	0.26	3.35
34	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	11	HS3ST3A1:17:13504455:G	146	4	primary		
35	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	11	HS3ST3A1:17:13504455:G	130	13	primary	0.12	3.1
36	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	12	MUC2:11:1215455:C	367	202	metastasis	0.26	3.35
37	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	12	MUC2:11:1215455:C	891	22	primary		
38	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	12	MUC2:11:1215455:C	736	111	primary	0.12	3.1
39	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	13	PEMT:17:17409549:T	270	147	metastasis	0.26	3.35
40	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	13	PEMT:17:17409549:T	649	13	primary		
41	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	13	PEMT:17:17409549:T	539	69	primary	0.12	3.1
42	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	14	INPP4B:4:143043226:A	66	35	metastasis	0.26	3.35
43	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	14	INPP4B:4:143043226:A	228	8	primary		
44	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	14	INPP4B:4:143043226:A	199	24	primary	0.12	3.1
45	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	15	ADAM18:8:39463868:C	338	179	metastasis	0.26	3.35
46	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	15	ADAM18:8:39463868:C	195	19	primary		
47	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	15	ADAM18:8:39463868:C	207	67	primary	0.12	3.1
48	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	16	ITGB8:7:20449176:G	23	12	metastasis	0.26	3.35
49	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	16	ITGB8:7:20449176:G	31	0	primary		
50	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	16	ITGB8:7:20449176:G	48	4	primary	0.12	3.1
51	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	17	NOS1:12:117665395:CC	270	134	metastasis	0.26	3.35
52	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	17	NOS1:12:117665395:CC	901	25	primary		
53	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	17	NOS1:12:117665395:CC	754	98	primary	0.12	3.1
54	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	18	ITGA9:3:37819009:G	48	23	metastasis	0.26	3.35
55	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	18	ITGA9:3:37819009:G	138	4	primary		
56	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	18	ITGA9:3:37819009:G	110	28	primary	0.12	3.1
57	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	19	GPR98:5:90111630:T	23	11	metastasis	0.26	3.35
58	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	19	GPR98:5:90111630:T	102	6	primary		
59	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	19	GPR98:5:90111630:T	109	10	primary	0.12	3.1
60	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	20	VIL1:2:219294336:G	264	126	metastasis	0.26	3.35
61	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	20	VIL1:2:219294336:G	606	13	primary		
62	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	20	VIL1:2:219294336:G	461	56	primary	0.12	3.1
63	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	21	TP53:17:7578457:C	357	170	metastasis	0.26	3.35
64	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	21	TP53:17:7578457:C	570	20	primary		
65	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	21	TP53:17:7578457:C	403	59	primary	0.12	3.1
66	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	22	COL2A1:12:48383390:G	64	30	metastasis	0.26	3.35
67	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	22	COL2A1:12:48383390:G	193	3	primary		
68	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	22	COL2A1:12:48383390:G	128	16	primary	0.12	3.1
69	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	23	COL8A1:3:99509750:C	394	184	metastasis	0.26	3.35
70	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	23	COL8A1:3:99509750:C	841	47	primary		
71	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	23	COL8A1:3:99509750:C	777	196	primary	0.12	3.1
72	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	24	MYH15:3:108102367:A	69	32	metastasis	0.26	3.35
73	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	24	MYH15:3:108102367:A	103	5	primary		
74	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	24	MYH15:3:108102367:A	103	19	primary	0.12	3.1
75	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	25	SSPO:7:149515846:C	225	104	metastasis	0.26	3.35
76	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	25	SSPO:7:149515846:C	526	19	primary		
77	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	25	SSPO:7:149515846:C	429	58	primary	0.12	3.1
78	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	26	UTP20:12:101703577:A	81	37	metastasis	0.26	3.35
79	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	26	UTP20:12:101703577:A	159	4	primary		
80	2	CRUK0227_SU_T1.R2	2	primary_SU_T1.R2	26	UTP20:12:101703577:A	150	16	primary	0.12	3.1
81	0	CRUK0227_SU_FLN1	0	LN_SU_FLN1	27	WNT2B:1:113033720:A	143	65	metastasis	0.26	3.35
82	1	CRUK0227_SU_T1.R1	1	primary_SU_T1.R1	27	WNT2B:1:113033720:A	380	6	primary		
