CRUK0667_SU_FLN1	CRUK0667_SU_T1.R1	CRUK0667_SU_T1.R2	CRUK0667_SU_T1.R3	CRUK0667_SU_T1.R4	CRUK0667_SU_T1.R5	CRUK0667_SU_T1.R6	CRUK0667_SU_T1.R7	CRUK0667_SU_T1.R8	clusterID	treeID
0	0	0	51	0	0	0	0	0	1	3
0	0	0	27	0	0	0	0	0	2	3
0	29	0	0	0	0	0	0	0	3	3
100	0	0	0	0	0	0	0	0	5	3
0	0	0	0	0	0	79	0	0	6	3
0	0	0	0	0	0	0	0	69	7	3
0	0	0	0	0	0	0	28	0	8	3
0	0	68	0	0	0	0	0	0	9	3
0	0	32	0	0	0	0	0	0	11	3
0	0	0	7	0	0	0	0	0	12	3
0	0	0	0	39	0	0	0	0	13	3
0	26	0	0	0	0	0	0	0	14	3
0	0	0	0	0	100	0	0	0	15	3
0	30	0	0	0	0	0	0	0	16	3
0	0	0	0	0	0	0	0	31	19	3
0	0	0	0	61	0	0	0	0	20	3
0	0	0	0	0	0	0	35	0	21	3
0	0	0	15	0	0	0	0	0	22	3
0	0	0	0	0	0	21	0	0	23	3
0	15	0	0	0	0	0	0	0	24	3
0	0	0	0	0	0	0	37	0	25	3
