CRUK0407_SU_FLN1	CRUK0407_SU_T1.R1	CRUK0407_SU_T1.R2	CRUK0407_SU_T1.R3	CRUK0407_SU_T1.R4	CRUK0407_SU_T1.R5	CRUK0407_SU_T1.R6	CRUK0407_SU_T1.R7	CRUK0407_SU_T1.R8	clusterID	treeID
0	0	0	0	0	0	31	0	0	1	1
0	0	0	0	0	0	46	0	0	2	1
0	0	0	39	0	58	21	52	0	3	1
0	0	0	0	11	0	0	0	0	4	1
71	55	0	26	0	3	2	16	89	5	1
0	10	0	0	0	0	0	0	0	6	1
0	12	0	0	0	0	0	0	0	7	1
0	0	100	0	0	0	0	0	0	9	1
0	0	0	0	0	0	0	0	11	10	1
0	0	0	35	0	0	0	0	0	11	1
0	0	0	0	0	0	0	18	0	12	1
0	0	0	0	0	12	0	0	0	13	1
29	0	0	0	0	0	0	0	0	14	1
0	0	0	0	89	16	0	0	0	15	1
0	0	0	0	0	11	0	14	0	16	1
0	23	0	0	0	0	0	0	0	18	1
0	0	0	0	0	0	31	0	0	1	4
0	0	0	0	0	0	46	0	0	2	4
0	0	0	39	0	58	21	52	0	3	4
0	0	0	0	9.90990990990991	0	0	0	0	4	4
71	55	0	26	0	3	2	16	89	5	4
0	10	0	0	0	0	0	0	0	6	4
0	12	0	0	0	0	0	0	0	7	4
0	0	100	0	0	0	0	0	0	9	4
0	0	0	0	0	0	0	0	11	10	4
0	0	0	35	0	0	0	0	0	11	4
0	0	0	0	0	0	0	18	0	12	4
0	0	0	0	0	12	0	0	0	13	4
29	0	0	0	0	0	0	0	0	14	4
0	0	0	0	90.0900900900901	16	0	0	0	15	4
0	0	0	0	0	11	0	14	0	16	4
0	23	0	0	0	0	0	0	0	18	4
0	0	0	0	0	0	31	0	0	1	14
0	0	0	0	0	0	46	0	0	2	14
0	0	0	39	0	46	21	52	0	3	14
0	0	0	0	11	0	0	0	0	4	14
71	55	0	26	0	3	2	16	89	5	14
0	10	0	0	0	0	0	0	0	6	14
0	12	0	0	0	0	0	0	0	7	14
0	0	100	0	0	0	0	0	0	9	14
0	0	0	0	0	0	0	0	11	10	14
0	0	0	35	0	0	0	0	0	11	14
0	0	0	0	0	0	0	18	0	12	14
0	0	0	0	0	12	0	0	0	13	14
29	0	0	0	0	0	0	0	0	14	14
0	0	0	0	89	28	0	0	0	15	14
0	0	0	0	0	11	0	14	0	16	14
0	23	0	0	0	0	0	0	0	18	14
0	0	0	0	0	0	31	0	0	1	15
0	0	0	0	0	0	46	0	0	2	15
0	0	0	39	0	47	21	20	0	3	15
0	0	0	0	11	0	0	0	0	4	15
71	55	0	26	0	14	2	48	89	5	15
0	10	0	0	0	0	0	0	0	6	15
0	12	0	0	0	0	0	0	0	7	15
0	0	100	0	0	0	0	0	0	9	15
0	0	0	0	0	0	0	0	11	10	15
0	0	0	35	0	0	0	0	0	11	15
0	0	0	0	0	0	0	18	0	12	15
0	0	0	0	0	12	0	0	0	13	15
29	0	0	0	0	0	0	0	0	14	15
0	0	0	0	89	16	0	0	0	15	15
0	0	0	0	0	11	0	14	0	16	15
0	23	0	0	0	0	0	0	0	18	15
0	0	0	0	0	0	31	0	0	1	53
0	0	0	0	0	0	46	0	0	2	53
0	0	0	39	0	47	21	20	0	3	53
0	0	0	0	9.90990990990991	0	0	0	0	4	53
71	55	0	26	0	14	2	48	89	5	53
0	10	0	0	0	0	0	0	0	6	53
0	12	0	0	0	0	0	0	0	7	53
0	0	100	0	0	0	0	0	0	9	53
0	0	0	0	0	0	0	0	11	10	53
0	0	0	35	0	0	0	0	0	11	53
0	0	0	0	0	0	0	18	0	12	53
0	0	0	0	0	12	0	0	0	13	53
29	0	0	0	0	0	0	0	0	14	53
0	0	0	0	90.0900900900901	16	0	0	0	15	53
0	0	0	0	0	11	0	14	0	16	53
0	23	0	0	0	0	0	0	0	18	53
