CRUK0596_SU_FLN2	CRUK0596_SU_T1.R1	CRUK0596_SU_T1.R2	CRUK0596_SU_T1.R3	CRUK0596_SU_T1.R4	CRUK0596_SU_T1.R5	CRUK0596_SU_T1.R6	CRUK0596_SU_T1.R7	CRUK0596_SU_T1.R8	clusterID	treeID
0	0	0	0	0	0	0	0	0	1	1
0	0	0	0	0	0	30	0	0	2	1
0	0	0	0	0	0	0	25	0	4	1
0	0	0	0	0	0	0	0	0	5	1
0	0	0	0	34	0	0	0	0	6	1
0	0	0	0	0	0	0	0	16	7	1
0	0	0	0	0	0	42	0	29	9	1
0	0	0	0	0	0	0	0	9	10	1
38	0	0	0	0	0	0	0	0	11	1
0	100	0	0	0	0	0	0	0	12	1
0	0	0	11	0	0	0	0	0	13	1
0	0	0	0	0	0	0	53.125	0	14	1
0	0	0	0	0	0	0	10	0	15	1
0	0	0	0	0	100	0	0	0	16	1
0	0	0	77	19	0	0	0	0	17	1
0	0	0	0	0	0	10	11	46	18	1
62	0	0	0	0	0	0	0	0	19	1
0	0	100	0	0	0	0	0	0	20	1
0	0	0	0	0	0	18	0	0	21	1
0	0	0	12	0	0	0	0	0	22	1
0	0	0	0	47	0	0	0.875	0	23	1
0	0	0	0	0	0	0	0	0	1	8
0	0	0	0	0	0	30	0	0	2	8
0	0	0	0	0	0	0	25	0	4	8
0	0	0	0	0	0	0	0	0	5	8
0	0	0	0	34	0	0	0	0	6	8
0	0	0	0	0	0	0	0	16	7	8
0	0	0	0	0	0	42	0	54	9	8
0	0	0	0	0	0	0	0	9	10	8
38	0	0	0	0	0	0	0	0	11	8
0	100	0	0	0	0	0	0	0	12	8
0	0	0	11	0	0	0	0	0	13	8
0	0	0	0	0	0	0	53.125	0	14	8
0	0	0	0	0	0	0	10	0	15	8
0	0	0	0	0	100	0	0	0	16	8
0	0	0	77	19	0	0	0	0	17	8
0	0	0	0	0	0	10	11	21	18	8
62	0	0	0	0	0	0	0	0	19	8
0	0	100	0	0	0	0	0	0	20	8
0	0	0	0	0	0	18	0	0	21	8
0	0	0	12	0	0	0	0	0	22	8
0	0	0	0	47	0	0	0.875	0	23	8
0	0	0	0	0	0	0	0	0	1	14
0	0	0	0	0	0	30	0	0	2	14
0	0	0	0	0	0	0	25	0	4	14
0	0	0	0	0	0	0	0	0	5	14
0	0	0	0	34	0	0	0	0	6	14
0	0	0	0	0	0	0	0	16	7	14
0	0	0	0	0	0	53.8461538461538	0	29	9	14
0	0	0	0	0	0	0	0	9	10	14
38	0	0	0	0	0	0	0	0	11	14
0	100	0	0	0	0	0	0	0	12	14
0	0	0	11	0	0	0	0	0	13	14
0	0	0	0	0	0	0	53.125	0	14	14
0	0	0	0	0	0	0	10	0	15	14
0	0	0	0	0	100	0	0	0	16	14
0	0	0	77	19	0	0	0	0	17	14
0	0	0	0	0	0	0	11	46	18	14
62	0	0	0	0	0	0	0	0	19	14
0	0	100	0	0	0	0	0	0	20	14
0	0	0	0	0	0	16.1538461538462	0	0	21	14
0	0	0	12	0	0	0	0	0	22	14
0	0	0	0	47	0	0	0.875	0	23	14
