	#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	ref	var	original_anatomical_site_label	sample_type	purity	ploidy
0	0	CRUK0388_SU_FLN1	0	LN_SU_FLN1	0	OR13H1:23:130678613:C	263	146	LN_SU_FLN1	metastasis	0.22	2.5
1	1	CRUK0388_SU_FLN2	1	LN_SU_FLN2	0	OR13H1:23:130678613:C	541	123	LN_SU_FLN2	metastasis	0.13	2.2
2	2	CRUK0388_SU_T1.R1	2	primary_SU_T1	0	OR13H1:23:130678613:C	206	756	primary_SU_T1.R1	primary	0.66	2.1
3	3	CRUK0388_SU_T1.R2	2	primary_SU_T1	0	OR13H1:23:130678613:C	238	753	primary_SU_T1.R2	primary	0.64	2.1
4	4	CRUK0388_SU_T1.R3	2	primary_SU_T1	0	OR13H1:23:130678613:C	204	824	primary_SU_T1.R3	primary	0.61	2.25
5	5	CRUK0388_SU_T1.R4	2	primary_SU_T1	0	OR13H1:23:130678613:C	173	746	primary_SU_T1.R4	primary	0.7	2.2
6	0	CRUK0388_SU_FLN1	0	LN_SU_FLN1	1	IL2RG:23:70327827:G	70	7	LN_SU_FLN1	metastasis	0.22	2.5
7	1	CRUK0388_SU_FLN2	1	LN_SU_FLN2	1	IL2RG:23:70327827:G	72	3	LN_SU_FLN2	metastasis	0.13	2.2
8	2	CRUK0388_SU_T1.R1	2	primary_SU_T1	1	IL2RG:23:70327827:G	29	66	primary_SU_T1.R1	primary	0.66	2.1
9	3	CRUK0388_SU_T1.R2	2	primary_SU_T1	1	IL2RG:23:70327827:G	44	69	primary_SU_T1.R2	primary	0.64	2.1
10	4	CRUK0388_SU_T1.R3	2	primary_SU_T1	1	IL2RG:23:70327827:G	34	56	primary_SU_T1.R3	primary	0.61	2.25
11	5	CRUK0388_SU_T1.R4	2	primary_SU_T1	1	IL2RG:23:70327827:G	25	76	primary_SU_T1.R4	primary	0.7	2.2
12	0	CRUK0388_SU_FLN1	0	LN_SU_FLN1	2	PDK3:23:24549784:G	178	44	LN_SU_FLN1	metastasis	0.22	2.5
13	1	CRUK0388_SU_FLN2	1	LN_SU_FLN2	2	PDK3:23:24549784:G	258	35	LN_SU_FLN2	metastasis	0.13	2.2
14	2	CRUK0388_SU_T1.R1	2	primary_SU_T1	2	PDK3:23:24549784:G	99	192	primary_SU_T1.R1	primary	0.66	2.1
