	#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	ref	var	original_anatomical_site_label	sample_type	purity	ploidy
0	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	0	FAM26F:6:116783080:G	48	123	LN_SU_FLN2	metastasis	0.41	3.8
1	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	0	FAM26F:6:116783080:G	77	64	primary_SU_T1.R1	primary	0.47	3.3
2	2	CRUK0598_SU_T1.R2	1	primary_SU_T1	0	FAM26F:6:116783080:G	127	26	primary_SU_T1.R2	primary	0.18	3.3
3	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	1	DPRX:19:54137840:G	62	69	LN_SU_FLN2	metastasis	0.41	3.8
4	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	1	DPRX:19:54137840:G	79	193	primary_SU_T1.R1	primary	0.47	3.3
5	2	CRUK0598_SU_T1.R2	1	primary_SU_T1	1	DPRX:19:54137840:G	190	72	primary_SU_T1.R2	primary	0.18	3.3
6	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	2	NPHS1:19:36336256:G	74	112	LN_SU_FLN2	metastasis	0.41	3.8
7	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	2	NPHS1:19:36336256:G	68	145	primary_SU_T1.R1	primary	0.47	3.3
8	2	CRUK0598_SU_T1.R2	1	primary_SU_T1	2	NPHS1:19:36336256:G	172	55	primary_SU_T1.R2	primary	0.18	3.3
9	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	3	PTPRH:19:55699431:C	91	112	LN_SU_FLN2	metastasis	0.41	3.8
10	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	3	PTPRH:19:55699431:C	131	257	primary_SU_T1.R1	primary	0.47	3.3
11	2	CRUK0598_SU_T1.R2	1	primary_SU_T1	3	PTPRH:19:55699431:C	293	103	primary_SU_T1.R2	primary	0.18	3.3
12	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	4	SOHLH1:9:138588722:C	52	36	LN_SU_FLN2	metastasis	0.41	3.8
13	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	4	SOHLH1:9:138588722:C	76	146	primary_SU_T1.R1	primary	0.47	3.3
14	2	CRUK0598_SU_T1.R2	1	primary_SU_T1	4	SOHLH1:9:138588722:C	180	42	primary_SU_T1.R2	primary	0.18	3.3
15	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	5	CACNA1C:12:2775841:T	69	73	LN_SU_FLN2	metastasis	0.41	3.8
16	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	5	CACNA1C:12:2775841:T	126	241	primary_SU_T1.R1	primary	0.47	3.3
17	2	CRUK0598_SU_T1.R2	1	primary_SU_T1	5	CACNA1C:12:2775841:T	187	105	primary_SU_T1.R2	primary	0.18	3.3
18	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	6	ARHGAP33:19:36271755:C	537	799	LN_SU_FLN2	metastasis	0.41	3.8
19	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	6	ARHGAP33:19:36271755:C	351	668	primary_SU_T1.R1	primary	0.47	3.3
20	2	CRUK0598_SU_T1.R2	1	primary_SU_T1	6	ARHGAP33:19:36271755:C	713	287	primary_SU_T1.R2	primary	0.18	3.3
21	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	7	A2M:12:9252199:C	45	43	LN_SU_FLN2	metastasis	0.41	3.8
22	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	7	A2M:12:9252199:C	128	235	primary_SU_T1.R1	primary	0.47	3.3
23	2	CRUK0598_SU_T1.R2	1	primary_SU_T1	7	A2M:12:9252199:C	208	118	primary_SU_T1.R2	primary	0.18	3.3
24	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	8	STRAP:12:16052976:G	111	114	LN_SU_FLN2	metastasis	0.41	3.8
25	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	8	STRAP:12:16052976:G	90	162	primary_SU_T1.R1	primary	0.47	3.3
26	2	CRUK0598_SU_T1.R2	1	primary_SU_T1	8	STRAP:12:16052976:G	123	48	primary_SU_T1.R2	primary	0.18	3.3
27	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	9	GLTSCR1:19:48184056:C	519	767	LN_SU_FLN2	metastasis	0.41	3.8
28	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	9	GLTSCR1:19:48184056:C	285	508	primary_SU_T1.R1	primary	0.47	3.3
29	2	CRUK0598_SU_T1.R2	1	primary_SU_T1	9	GLTSCR1:19:48184056:C	522	192	primary_SU_T1.R2	primary	0.18	3.3
30	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	10	ADAMTS20:12:43769920:G	182	170	LN_SU_FLN2	metastasis	0.41	3.8
31	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	10	ADAMTS20:12:43769920:G	241	420	primary_SU_T1.R1	primary	0.47	3.3
32	2	CRUK0598_SU_T1.R2	1	primary_SU_T1	10	ADAMTS20:12:43769920:G	398	191	primary_SU_T1.R2	primary	0.18	3.3
33	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	11	NPR3:5:32712609:G	477	830	LN_SU_FLN2	metastasis	0.41	3.8
34	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	11	NPR3:5:32712609:G	788	785	primary_SU_T1.R1	primary	0.47	3.3
35	2	CRUK0598_SU_T1.R2	1	primary_SU_T1	11	NPR3:5:32712609:G	919	292	primary_SU_T1.R2	primary	0.18	3.3
36	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	12	NLRP5:19:56544997:G	159	201	LN_SU_FLN2	metastasis	0.41	3.8
37	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	12	NLRP5:19:56544997:G	220	372	primary_SU_T1.R1	primary	0.47	3.3
38	2	CRUK0598_SU_T1.R2	1	primary_SU_T1	12	NLRP5:19:56544997:G	412	138	primary_SU_T1.R2	primary	0.18	3.3
39	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	13	ZNF536:19:31039045:G	151	161	LN_SU_FLN2	metastasis	0.41	3.8
40	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	13	ZNF536:19:31039045:G	245	404	primary_SU_T1.R1	primary	0.47	3.3
41	2	CRUK0598_SU_T1.R2	1	primary_SU_T1	13	ZNF536:19:31039045:G	565	216	primary_SU_T1.R2	primary	0.18	3.3
42	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	14	ZNF536:19:31038973:C	133	142	LN_SU_FLN2	metastasis	0.41	3.8
43	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	14	ZNF536:19:31038973:C	220	362	primary_SU_T1.R1	primary	0.47	3.3
44	2	CRUK0598_SU_T1.R2	1	primary_SU_T1	14	ZNF536:19:31038973:C	476	160	primary_SU_T1.R2	primary	0.18	3.3
45	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	15	ZNF536:19:31025891:C	115	122	LN_SU_FLN2	metastasis	0.41	3.8
46	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	15	ZNF536:19:31025891:C	153	251	primary_SU_T1.R1	primary	0.47	3.3
47	2	CRUK0598_SU_T1.R2	1	primary_SU_T1	15	ZNF536:19:31025891:C	328	122	primary_SU_T1.R2	primary	0.18	3.3
48	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	16	STAMBPL1:10:90670584:A	27	26	LN_SU_FLN2	metastasis	0.41	3.8
49	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	16	STAMBPL1:10:90670584:A	33	54	primary_SU_T1.R1	primary	0.47	3.3
50	2	CRUK0598_SU_T1.R2	1	primary_SU_T1	16	STAMBPL1:10:90670584:A	104	24	primary_SU_T1.R2	primary	0.18	3.3
51	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	17	KLRD1:12:10460751:G	94	91	LN_SU_FLN2	metastasis	0.41	3.8
52	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	17	KLRD1:12:10460751:G	185	300	primary_SU_T1.R1	primary	0.47	3.3
53	2	CRUK0598_SU_T1.R2	1	primary_SU_T1	17	KLRD1:12:10460751:G	271	132	primary_SU_T1.R2	primary	0.18	3.3
54	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	18	STRN4:19:47230832:G	264	390	LN_SU_FLN2	metastasis	0.41	3.8
55	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	18	STRN4:19:47230832:G	273	442	primary_SU_T1.R1	primary	0.47	3.3
56	2	CRUK0598_SU_T1.R2	1	primary_SU_T1	18	STRN4:19:47230832:G	468	200	primary_SU_T1.R2	primary	0.18	3.3
57	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	19	FAM135B:8:139165386:C	122	152	LN_SU_FLN2	metastasis	0.41	3.8
58	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	19	FAM135B:8:139165386:C	265	424	primary_SU_T1.R1	primary	0.47	3.3
59	2	CRUK0598_SU_T1.R2	1	primary_SU_T1	19	FAM135B:8:139165386:C	324	174	primary_SU_T1.R2	primary	0.18	3.3
60	0	CRUK0598_SU_FLN2	0	LN_SU_FLN2	20	CLEC4C:12:7890157:G	71	79	LN_SU_FLN2	metastasis	0.41	3.8
61	1	CRUK0598_SU_T1.R1	1	primary_SU_T1	20	CLEC4C:12:7890157:G	122	193	primary_SU_T1.R1	primary	0.47	3.3
