	#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	ref	var	original_anatomical_site_label	sample_type	purity	ploidy
0	0	CRUK0487_SU_FLN1	0	LN_SU_FLN1	0	RNF144B:6:18406232:G	448	262	LN_SU_FLN1	metastasis	0.25	3.3
1	1	CRUK0487_SU_FLN2	1	LN_SU_FLN2	0	RNF144B:6:18406232:G	377	352	LN_SU_FLN2	metastasis	0.36	3.2
2	2	CRUK0487_SU_FLN3	2	LN_SU_FLN3	0	RNF144B:6:18406232:G	234	164	LN_SU_FLN3	metastasis	0.34	3.4
3	3	CRUK0487_SU_LN1	3	LN_SU_LN1	0	RNF144B:6:18406232:G	520	875	LN_SU_LN1	metastasis	0.49	3.25
4	4	CRUK0487_SU_T1.R1	4	primary_SU_T1	0	RNF144B:6:18406232:G	370	890	primary_SU_T1.R1	primary	0.54	3.4
5	5	CRUK0487_SU_T1.R2	4	primary_SU_T1	0	RNF144B:6:18406232:G	273	1189	primary_SU_T1.R2	primary	0.7	3.3
6	6	CRUK0487_SU_T1.R3	4	primary_SU_T1	0	RNF144B:6:18406232:G	282	1168	primary_SU_T1.R3	primary	0.67	3.3
7	7	CRUK0487_SU_T1.R4	4	primary_SU_T1	0	RNF144B:6:18406232:G	555	773	primary_SU_T1.R4	primary	0.43	3.2
8	8	CRUK0487_SU_T1.R5	4	primary_SU_T1	0	RNF144B:6:18406232:G	595	827	primary_SU_T1.R5	primary	0.44	3.1
9	9	CRUK0487_SU_T1.R6	4	primary_SU_T1	0	RNF144B:6:18406232:G	618	753	primary_SU_T1.R6	primary	0.4	3.3
10	10	CRUK0487_SU_T1.R7	4	primary_SU_T1	0	RNF144B:6:18406232:G	314	921	primary_SU_T1.R7	primary	0.58	3.2
11	0	CRUK0487_SU_FLN1	0	LN_SU_FLN1	1	PIK3CA:3:178916936:G	146	58	LN_SU_FLN1	metastasis	0.25	3.3
12	1	CRUK0487_SU_FLN2	1	LN_SU_FLN2	1	PIK3CA:3:178916936:G	131	65	LN_SU_FLN2	metastasis	0.36	3.2
13	2	CRUK0487_SU_FLN3	2	LN_SU_FLN3	1	PIK3CA:3:178916936:G	82	54	LN_SU_FLN3	metastasis	0.34	3.4
14	3	CRUK0487_SU_LN1	3	LN_SU_LN1	1	PIK3CA:3:178916936:G	154	237	LN_SU_LN1	metastasis	0.49	3.25
15	4	CRUK0487_SU_T1.R1	4	primary_SU_T1	1	PIK3CA:3:178916936:G	112	174	primary_SU_T1.R1	primary	0.54	3.4
16	5	CRUK0487_SU_T1.R2	4	primary_SU_T1	1	PIK3CA:3:178916936:G	63	242	primary_SU_T1.R2	primary	0.7	3.3
17	6	CRUK0487_SU_T1.R3	4	primary_SU_T1	1	PIK3CA:3:178916936:G	95	261	primary_SU_T1.R3	primary	0.67	3.3
18	7	CRUK0487_SU_T1.R4	4	primary_SU_T1	1	PIK3CA:3:178916936:G	158	148	primary_SU_T1.R4	primary	0.43	3.2
19	8	CRUK0487_SU_T1.R5	4	primary_SU_T1	1	PIK3CA:3:178916936:G	159	183	primary_SU_T1.R5	primary	0.44	3.1
20	9	CRUK0487_SU_T1.R6	4	primary_SU_T1	1	PIK3CA:3:178916936:G	161	176	primary_SU_T1.R6	primary	0.4	3.3
21	10	CRUK0487_SU_T1.R7	4	primary_SU_T1	1	PIK3CA:3:178916936:G	110	198	primary_SU_T1.R7	primary	0.58	3.2
22	0	CRUK0487_SU_FLN1	0	LN_SU_FLN1	2	PEX5L:3:179597847:G	117	65	LN_SU_FLN1	metastasis	0.25	3.3
23	1	CRUK0487_SU_FLN2	1	LN_SU_FLN2	2	PEX5L:3:179597847:G	111	64	LN_SU_FLN2	metastasis	0.36	3.2
24	2	CRUK0487_SU_FLN3	2	LN_SU_FLN3	2	PEX5L:3:179597847:G	134	73	LN_SU_FLN3	metastasis	0.34	3.4
25	3	CRUK0487_SU_LN1	3	LN_SU_LN1	2	PEX5L:3:179597847:G	186	282	LN_SU_LN1	metastasis	0.49	3.25
26	4	CRUK0487_SU_T1.R1	4	primary_SU_T1	2	PEX5L:3:179597847:G	128	191	primary_SU_T1.R1	primary	0.54	3.4
27	5	CRUK0487_SU_T1.R2	4	primary_SU_T1	2	PEX5L:3:179597847:G	82	303	primary_SU_T1.R2	primary	0.7	3.3
28	6	CRUK0487_SU_T1.R3	4	primary_SU_T1	2	PEX5L:3:179597847:G	122	298	primary_SU_T1.R3	primary	0.67	3.3
29	7	CRUK0487_SU_T1.R4	4	primary_SU_T1	2	PEX5L:3:179597847:G	179	190	primary_SU_T1.R4	primary	0.43	3.2
30	8	CRUK0487_SU_T1.R5	4	primary_SU_T1	2	PEX5L:3:179597847:G	219	228	primary_SU_T1.R5	primary	0.44	3.1
31	9	CRUK0487_SU_T1.R6	4	primary_SU_T1	2	PEX5L:3:179597847:G	231	196	primary_SU_T1.R6	primary	0.4	3.3
