5 #anatomical sites
5 #samples
9 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f_lb	f_ub	ref	var
0	P	0	P	0	0	0.8811640553150935	1	95	116
0	P	0	P	1	1;2;3;4;5;6	0.30945360001590805	0.45483720286254875	955	223
0	P	0	P	2	13	0.0	0.0497506218866604	198	0
0	P	0	P	3	9;14	0.0	0.026525105127999212	374	0
0	P	0	P	4	7;15	0.0	0.024691282384448232	402	0
0	P	0	P	5	11;16;17	0.0	0.016447346101302027	605	0
0	P	0	P	6	23	0.0	0.04716928156989335	209	0
1	M1	1	M1	0	0	1.0255083079412308	1	73	122
1	M1	1	M1	1	1;2;3;4;5;6	0.8797454994604027	1	622	587
1	M1	1	M1	2	13	0.0	0.05524776617580983	178	0
1	M1	1	M1	3	9;14	0.0	0.027472423227296823	361	0
1	M1	1	M1	4	7;15	0.0	0.023640595563410388	420	0
1	M1	1	M1	5	11;16;17	0.0	0.015948942967868845	624	0
1	M1	1	M1	6	23	0.0	0.051281369987653216	192	0
2	M2	2	M2	0	0	0.746291212259685	1	97	92
2	M2	2	M2	1	1;2;3;4;5;6	0.8959619519971317	1	636	618
2	M2	2	M2	2	13	0.12864784382725197	0.40207423308649604	202	28
2	M2	2	M2	3	9;14	0.6818353659996521	0.9970952160075555	228	164
2	M2	2	M2	4	7;15	0.0	0.024271772816312768	409	0
2	M2	2	M2	5	11;16;17	0.0	0.016393420522258586	607	0
2	M2	2	M2	6	23	0.0	0.05101973727906271	193	0
3	M3	3	M3	0	0	0.7670209200270289	1	100	98
3	M3	3	M3	1	1;2;3;4;5;6	0.9128235924651911	1	594	600
3	M3	3	M3	2	13	0.0	0.05290930440355724	186	0
3	M3	3	M3	3	9;14	0.0	0.026177920302165827	379	0
3	M3	3	M3	4	7;15	0.0	0.02710017094540471	366	0
3	M3	3	M3	5	11;16;17	0.7118585166109772	0.9659421097564369	353	254
3	M3	3	M3	6	23	0.11115874732423622	0.39469286207475607	179	23
4	M4	4	M4	0	0	0.7143254931621229	1	109	95
4	M4	4	M4	1	1;2;3;4;5;6	0.8921763170027667	1	632	610
4	M4	4	M4	2	13	0.0	0.052355295784741844	188	0
4	M4	4	M4	3	9;14	0.0	0.027322301829060237	363	0
4	M4	4	M4	4	7;15	0.8095180879398045	1	225	208
4	M4	4	M4	5	11;16;17	0.0	0.017330996411749903	574	0
4	M4	4	M4	6	23	0.0	0.04807636206962323	205	0
